CustomerID,AccountAgeMonths,LastPurchaseDays,TotalOrders,TotalSpend,AvgOrderValue,AppLogins30d,WishlistItems,CartAbandonments,DiscountUsage,GeneratedAt,Recency,Frequency,Monetary,EngagementScore,Segment,ChurnRisk,CLV,RecommendedAction,ProcessedAt
C00001,52,41,56,61495,1098,4,20,3,High,2026-04-07 11:09:01,41,56,61495,8.4,2,Medium,3443720,Loyalty Program,2026-04-09 12:57:04
C00002,28,126,17,21216,1248,4,4,4,Medium,2026-04-07 11:09:01,126,17,21216,4.800000000000001,1,Medium,360672,VIP Treatment,2026-04-09 12:57:04
C00003,23,53,23,27685,1203,4,26,4,Low,2026-04-07 11:09:01,53,23,27685,9.200000000000001,0,Medium,636755,VIP Treatment,2026-04-09 12:57:04
C00004,55,15,37,50182,1356,5,12,1,Medium,2026-04-07 11:09:01,15,37,50182,8.0,0,Low,1856734,VIP Treatment,2026-04-09 12:57:04
C00005,44,9,20,29203,1460,10,12,1,Low,2026-04-07 11:09:01,9,20,29203,10.0,0,Low,584060,VIP Treatment,2026-04-09 12:57:04
C00006,27,61,26,67215,2585,4,25,3,Medium,2026-04-07 11:09:01,61,26,67215,9.4,0,Medium,1747590,VIP Treatment,2026-04-09 12:57:04
C00007,51,3,20,20666,1033,20,17,1,Low,2026-04-07 11:09:01,3,20,20666,15.0,0,Low,413320,VIP Treatment,2026-04-09 12:57:04
C00008,50,4,14,28585,2041,19,3,3,Medium,2026-04-07 11:09:01,4,14,28585,11.000000000000002,0,Low,400190,VIP Treatment,2026-04-09 12:57:04
C00009,18,37,20,42179,2108,9,12,4,High,2026-04-07 11:09:01,37,20,42179,8.4,0,Medium,843580,VIP Treatment,2026-04-09 12:57:04
C00010,26,148,21,52517,2500,0,13,4,High,2026-04-07 11:09:01,148,21,52517,5.0,1,Medium,1102857,VIP Treatment,2026-04-09 12:57:04
C00001,34,44,30,43974,1465,10,18,3,Low,2026-04-07 11:10:01,44,30,43974,10.4,0,Medium,1319220,VIP Treatment,2026-04-09 12:57:04
C00002,13,150,7,24799,3542,2,2,8,Low,2026-04-07 11:10:01,150,7,24799,2.0,1,Medium,173593,VIP Treatment,2026-04-09 12:57:04
C00003,27,1,16,29972,1873,19,3,3,Low,2026-04-07 11:10:01,1,16,29972,11.000000000000002,0,Low,479552,VIP Treatment,2026-04-09 12:57:04
C00004,6,4,6,10460,1743,18,14,0,Low,2026-04-07 11:10:01,4,6,10460,14.0,0,Low,62760,VIP Treatment,2026-04-09 12:57:04
C00005,57,9,57,170034,2983,12,8,2,Low,2026-04-07 11:10:01,9,57,170034,9.600000000000001,2,Low,9691938,Loyalty Program,2026-04-09 12:57:04
C00006,35,110,53,131346,2478,3,18,6,Low,2026-04-07 11:10:01,110,53,131346,6.4,2,Medium,6961338,Loyalty Program,2026-04-09 12:57:04
C00007,57,2,12,39677,3306,12,8,2,Low,2026-04-07 11:10:01,2,12,39677,9.600000000000001,0,Low,476124,VIP Treatment,2026-04-09 12:57:04
